Sample,Index,Experiment,Structure,Type,Replicate,ReadsSum
1,37,GM17-OE22,Primary,Segment,A,673196
2,38,GM17-OE22,Primary,Hair,A,463768
3,39,GM17-OE22,Primary,Tip,A,1630252
4,40,GM17-OE22,Secondary,Segment,A,790549
5,41,GM17-OE22,Secondary,Hair,A,1331734
6,42,GM17-OE22,Secondary,Tip,A,1640720
7,43,GM17-OE22,Tertiary,Segment,A,795022
8,44,GM17-OE22,Tertiary,Hair,A,517318
9,45,GM17-OE22,Tertiary,Tip,A,856169
10,46,GM17-OE22,Primary,Segment,B,1619473
11,47,GM17-OE22,Primary,Hair,B,480923
12,48,GM17-OE22,Primary,Tip,B,2318174
13,49,GM17-OE22,Secondary,Segment,B,1786980
14,50,GM17-OE22,Secondary,Hair,B,1313040
15,51,GM17-OE22,Secondary,Tip,B,2484622
16,52,GM17-OE22,Tertiary,Segment,B,1300281
17,53,GM17-OE22,Tertiary,Hair,B,754009
18,54,GM17-OE22,Tertiary,Tip,B,745112
19,55,GM17-OE22,Primary,Segment,C,1136053
20,56,GM17-OE22,Primary,Hair,C,1156176
21,57,GM17-OE22,Primary,Tip,C,527492
22,58,GM17-OE22,Secondary,Segment,C,1856748
23,59,GM17-OE22,Secondary,Hair,C,1686113
24,60,GM17-OE22,Secondary,Tip,C,1916329
25,61,GM17-OE22,Tertiary,Segment,C,771556
26,62,GM17-OE22,Tertiary,Hair,C,1226577
27,63,GM17-OE22,Tertiary,Tip,C,831979
28,64,GM17-OE22,Primary,Segment,D,190534
29,65,GM17-OE22,Primary,Hair,D,311216
30,66,GM17-OE22,Primary,Tip,D,1348188
31,67,GM17-OE22,Secondary,Segment,D,1343293
32,68,GM17-OE22,Secondary,Hair,D,835618
33,69,GM17-OE22,Secondary,Tip,D,1275843
34,70,GM17-OE22,Tertiary,Segment,D,809049
35,71,GM17-OE22,Tertiary,Hair,D,1042745
36,72,GM17-OE22,Tertiary,Tip,D,1929356
37,147,InocGM17,Inoculum,Inoculum,A,1794957
