Sample,Index,Experiment,Structure,Type,Replicate,ReadsSum
1,109,GM17+OV744-OE22,Primary,Segment,A,313942
2,110,GM17+OV744-OE22,Primary,Hair,A,538129
3,111,GM17+OV744-OE22,Primary,Tip,A,575538
4,112,GM17+OV744-OE22,Secondary,Segment,A,848361
5,113,GM17+OV744-OE22,Secondary,Hair,A,1165973
6,114,GM17+OV744-OE22,Secondary,Tip,A,1972679
7,115,GM17+OV744-OE22,Tertiary,Segment,A,1812101
8,116,GM17+OV744-OE22,Tertiary,Hair,A,610596
9,117,GM17+OV744-OE22,Tertiary,Tip,A,417108
10,118,GM17+OV744-OE22,Primary,Segment,B,1675372
11,119,GM17+OV744-OE22,Primary,Hair,B,468759
12,120,GM17+OV744-OE22,Primary,Tip,B,849285
13,121,GM17+OV744-OE22,Secondary,Segment,B,1304091
14,122,GM17+OV744-OE22,Secondary,Hair,B,806690
15,123,GM17+OV744-OE22,Secondary,Tip,B,1206923
16,124,GM17+OV744-OE22,Tertiary,Segment,B,1032634
17,125,GM17+OV744-OE22,Tertiary,Hair,B,624272
18,126,GM17+OV744-OE22,Tertiary,Tip,B,1079832
19,127,GM17+OV744-OE22,Primary,Segment,C,526139
20,128,GM17+OV744-OE22,Primary,Hair,C,1014446
21,129,GM17+OV744-OE22,Primary,Tip,C,826320
22,130,GM17+OV744-OE22,Secondary,Segment,C,1222917
23,131,GM17+OV744-OE22,Secondary,Hair,C,1436462
24,132,GM17+OV744-OE22,Secondary,Tip,C,1621025
25,133,GM17+OV744-OE22,Tertiary,Segment,C,343631
26,134,GM17+OV744-OE22,Tertiary,Hair,C,790620
27,135,GM17+OV744-OE22,Tertiary,Tip,C,1418853
28,136,GM17+OV744-OE22,Primary,Segment,D,1177348
29,137,GM17+OV744-OE22,Primary,Hair,D,996120
30,138,GM17+OV744-OE22,Primary,Tip,D,806307
31,139,GM17+OV744-OE22,Secondary,Segment,D,671436
32,140,GM17+OV744-OE22,Secondary,Hair,D,1127243
33,141,GM17+OV744-OE22,Secondary,Tip,D,938751
34,142,GM17+OV744-OE22,Tertiary,Segment,D,850396
35,143,GM17+OV744-OE22,Tertiary,Hair,D,1274169
36,144,GM17+OV744-OE22,Tertiary,Tip,D,1017255
37,148,InocGM17OV744,Inoculum,Inoculum,A,1487827
