Sample,Index,Experiment,Structure,Type,Replicate,ReadsSum
1,73,GM17+OV744-OE,Primary,Segment,A,259143
2,74,GM17+OV744-OE,Primary,Hair,A,462588
3,75,GM17+OV744-OE,Primary,Tip,A,1067956
4,76,GM17+OV744-OE,Secondary,Segment,A,38822
5,77,GM17+OV744-OE,Secondary,Hair,A,389589
6,78,GM17+OV744-OE,Secondary,Tip,A,787800
7,79,GM17+OV744-OE,Tertiary,Segment,A,1153280
8,80,GM17+OV744-OE,Tertiary,Hair,A,659442
9,81,GM17+OV744-OE,Tertiary,Tip,A,946014
10,82,GM17+OV744-OE,Primary,Segment,B,1332147
11,83,GM17+OV744-OE,Primary,Hair,B,1195213
12,84,GM17+OV744-OE,Primary,Tip,B,2008065
13,85,GM17+OV744-OE,Secondary,Segment,B,204210
14,86,GM17+OV744-OE,Secondary,Hair,B,259126
15,87,GM17+OV744-OE,Secondary,Tip,B,454770
16,88,GM17+OV744-OE,Tertiary,Segment,B,620406
17,89,GM17+OV744-OE,Tertiary,Hair,B,963545
18,90,GM17+OV744-OE,Tertiary,Tip,B,674822
19,91,GM17+OV744-OE,Primary,Segment,C,790069
20,92,GM17+OV744-OE,Primary,Hair,C,786055
21,93,GM17+OV744-OE,Primary,Tip,C,1068631
22,94,GM17+OV744-OE,Secondary,Segment,C,384742
23,95,GM17+OV744-OE,Secondary,Hair,C,534883
24,96,GM17+OV744-OE,Secondary,Tip,C,1812297
25,97,GM17+OV744-OE,Tertiary,Segment,C,671943
26,98,GM17+OV744-OE,Tertiary,Hair,C,838586
27,99,GM17+OV744-OE,Tertiary,Tip,C,862414
28,100,GM17+OV744-OE,Primary,Segment,D,594044
29,101,GM17+OV744-OE,Primary,Hair,D,986046
30,102,GM17+OV744-OE,Primary,Tip,D,1055811
31,103,GM17+OV744-OE,Secondary,Segment,D,1738571
32,104,GM17+OV744-OE,Secondary,Hair,D,962555
33,105,GM17+OV744-OE,Secondary,Tip,D,812874
34,106,GM17+OV744-OE,Tertiary,Segment,D,1080819
35,107,GM17+OV744-OE,Tertiary,Hair,D,809802
36,108,GM17+OV744-OE,Tertiary,Tip,D,433147
37,148,InocGM17OV744,Inoculum,Inoculum,A,1487827
